Season,City,Date,Team1,Team2,Toss_Winner,Toss_Decision,Result,DL_Applied,Winner,Win_By_Runs,Win_By_Wickets,Player_of_the_Week
2020,Hyderabad,28-04-2021,Rajasthan Royals,Lucknow Super Giants,Delhi Capitals,field,tie,1,Rajasthan Royals,8,4,Hardik Pandya
2022,Delhi,01-07-2021,Kolkata Knight Riders,Delhi Capitals,Chennai Super Kings,field,tie,0,Rajasthan Royals,2,3,MS Dhoni
2020,Ahmedabad,10-08-2022,Royal Challengers Bangalore,Delhi Capitals,Lucknow Super Giants,bat,tie,0,Chennai Super Kings,97,2,Hardik Pandya
2022,Kolkata,15-08-2020,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,no result,1,Royal Challengers Bangalore,64,5,Virat Kohli
2019,Jaipur,25-08-2023,Sunrisers Hyderabad,Chennai Super Kings,Gujarat Titans,bat,no result,0,Delhi Capitals,89,9,KL Rahul
2023,Chennai,16-11-2023,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,no result,1,Rajasthan Royals,65,7,KL Rahul
2018,Bangalore,25-05-2023,Sunrisers Hyderabad,Rajasthan Royals,Gujarat Titans,field,normal,1,Sunrisers Hyderabad,20,7,KL Rahul
2019,Hyderabad,17-08-2022,Kolkata Knight Riders,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,no result,1,Punjab Kings,36,3,MS Dhoni
2018,Kolkata,20-05-2021,Lucknow Super Giants,Chennai Super Kings,Gujarat Titans,field,normal,1,Gujarat Titans,75,5,Virat Kohli
2020,Kolkata,28-04-2022,Lucknow Super Giants,Royal Challengers Bangalore,Delhi Capitals,bat,tie,0,Royal Challengers Bangalore,5,0,Rishabh Pant
2021,Jaipur,18-03-2020,Gujarat Titans,Punjab Kings,Delhi Capitals,field,tie,0,Sunrisers Hyderabad,98,6,Hardik Pandya
2018,Hyderabad,28-12-2020,Rajasthan Royals,Royal Challengers Bangalore,Kolkata Knight Riders,bat,no result,0,Lucknow Super Giants,94,10,Rishabh Pant
2019,Jaipur,10-12-2021,Punjab Kings,Gujarat Titans,Chennai Super Kings,field,no result,1,Delhi Capitals,66,3,Rohit Sharma
2021,Bangalore,10-02-2020,Gujarat Titans,Sunrisers Hyderabad,Rajasthan Royals,field,no result,0,Gujarat Titans,17,3,MS Dhoni
